sku,upc,weight,height_cm,length_cm,width_cm,uom,image_url
A072YFG,752044037855,0.0000,3.20,23.70,4.80,EA,http://champrosports.com/images/product/large/A072_1_forestgreen.jpg
A072YGO,752044037862,0.0000,3.20,23.70,4.80,EA,http://champrosports.com/images/product/large/A072_1_gold.jpg
A072YMA,752044037879,0.0000,3.20,23.70,4.80,EA,http://champrosports.com/images/product/large/A072_1_maroon.jpg
A072YNY,752044037886,0.0000,3.20,23.70,4.80,EA,http://champrosports.com/images/product/large/A072_1_navy.jpg
A072YOR,752044037893,0.0000,3.20,23.70,4.80,EA,http://champrosports.com/images/product/large/A072_1_orange.jpg
A072YPU,752044037909,0.0000,3.20,23.70,4.80,EA,http://champrosports.com/images/product/large/A072_1_purple.jpg
A072YRY,752044037916,0.0000,3.20,23.70,4.80,EA,http://champrosports.com/images/product/large/A072_1_royal.jpg
A072YSC,752044037923,0.0000,3.20,23.70,4.80,EA,http://champrosports.com/images/product/large/A072_1_scarlet.jpg
A072YW,752044037930,0.0000,3.20,23.70,4.80,EA,http://champrosports.com/images/product/large/A072_1_white.jpg
A073B2X,752044062406,0.3200,4.90,14.00,13.60,EA,http://champrosports.com/images/product/large/A073_1_black.jpg
A073B3X,752044062413,0.3500,4.90,14.60,14.50,EA,http://champrosports.com/images/product/large/A073_1_black.jpg
A073BL,752044062383,0.3050,5.20,10.00,9.60,EA,http://champrosports.com/images/product/large/A073_1_black.jpg
A073BM,752044062376,0.2650,4.90,13.30,12.50,EA,http://champrosports.com/images/product/large/A073_1_black.jpg
A073BS,752044062369,0.2450,5.00,13.30,12.50,EA,http://champrosports.com/images/product/large/A073_1_black.jpg
A073BXL,752044062390,0.3200,4.90,14.50,13.70,EA,http://champrosports.com/images/product/large/A073_1_black.jpg
A073FG2X,752044062468,0.3200,4.90,14.00,13.60,EA,http://champrosports.com/images/product/large/A073_1_forestgreen.jpg
A073FG3X,752044062475,0.3500,4.90,14.60,14.50,EA,http://champrosports.com/images/product/large/A073_1_forestgreen.jpg
A073FGL,752044062444,0.3050,5.20,10.00,9.60,EA,http://champrosports.com/images/product/large/A073_1_forestgreen.jpg
A073FGM,752044062437,0.2650,4.90,13.30,12.50,EA,http://champrosports.com/images/product/large/A073_1_forestgreen.jpg
A073FGS,752044062420,0.2450,5.00,13.30,12.50,EA,http://champrosports.com/images/product/large/A073_1_forestgreen.jpg
A073FGXL,752044062451,0.3200,4.90,14.50,13.70,EA,http://champrosports.com/images/product/large/A073_1_forestgreen.jpg
A073GO2X,752044062529,0.3200,4.90,14.00,13.60,EA,http://champrosports.com/images/product/large/A073_1_gold.jpg
A073GO3X,752044062536,0.3500,4.90,14.60,14.50,EA,http://champrosports.com/images/product/large/A073_1_gold.jpg
A073GOL,752044062505,0.3050,5.20,10.00,9.60,EA,http://champrosports.com/images/product/large/A073_1_gold.jpg
A073GOM,752044062499,0.2650,4.90,13.30,12.50,EA,http://champrosports.com/images/product/large/A073_1_gold.jpg
A073GOS,752044062482,0.2450,5.00,13.30,12.50,EA,http://champrosports.com/images/product/large/A073_1_gold.jpg
A073GOXL,752044062512,0.3200,4.90,14.50,13.70,EA,http://champrosports.com/images/product/large/A073_1_gold.jpg
