retire_id,name,canonical_id,canonical_name,distance,items_to_repoint,canonical_items,canonical_in_ss_feed,confidence
3343,Smgr,2209,Shgr,1,1,1,no,review
3349,Trnvy,2898,Trnv,1,1,3,no,review
2703,Tryl,3084,Neyl,2,1,3,no,review
2703,Tryl,750,Teal,2,1,0,yes,review
2703,Tryl,3455,Trh,2,1,3,no,review
2703,Tryl,2898,Trnv,2,1,3,no,review
4365,WH,498,Ash,2,1,62,yes,review
4365,WH,2607,Db,2,1,4,no,review
4365,WH,3028,Ec,2,1,1,no,review
4365,WH,2339,Ga,2,1,1,no,review
4365,WH,3403,Gc,2,1,9,no,review
4365,WH,3404,Gch,2,1,5,no,review
4365,WH,505,Gph,2,1,10,no,review
4365,WH,1146,Ig,2,1,1,no,review
4365,WH,1034,In,2,1,3,no,review
4365,WH,489,Ke,2,1,1,no,review
4365,WH,1290,Kh,1,1,4,no,review
4365,WH,2155,Mr,2,1,1,no,review
4365,WH,3435,Oh,1,1,1,no,review
4365,WH,3772,Oy,2,1,8,no,review
4365,WH,4303,RD,2,1,1,no,review
4365,WH,4040,Rwb,2,1,1,no,review
4365,WH,2885,SGH,2,1,3,no,review
4365,WH,3455,Trh,2,1,3,no,review
4365,WH,3124,Vh,1,1,2,no,review
4372,WH/ST,2431,Na/St,2,1,1,no,review
4372,WH/ST,4313,RO/ST,2,1,2,no,review
4372,WH/ST,4322,SC/ST,2,1,1,no,review
4107,ATH/HTHR,3190,Ath/Htr,1,0,2,no,review
543,Athgr,1279,Htgr,2,0,5,no,review
543,Athgr,4256,LTHEGR,2,0,1,no,review
543,Athgr,2209,Shgr,2,0,1,no,review
7615,Black Charcoal Heather,4118,Black/Charcoal Heather,1,0,1,no,review
845,Black/Grey,613,Black/Red,2,0,29,no,review
7,Black/Grey,613,Black/Red,2,0,29,no,review
1182,Black/Red,845,Black/Grey,2,0,0,no,review
1182,Black/Red,7,Black/Grey,2,0,0,no,review
5112,Black/Red/White,686,Black/Grey/White,2,0,3,no,review
763,Blue,4133,BLGR,2,0,6,no,review
763,Blue,2788,Bkhe,2,0,1,no,review
763,Blue,7460,Blush,2,0,1,yes,review
763,Blue,3387,Cblu,2,0,2,no,review
2010,Bror,4133,BLGR,2,0,6,no,review
2010,Bror,7185,Brown,2,0,4,no,review
2010,Bror,6425,Iron,2,0,15,no,review
3212,Capi,4147,CAPNK,2,0,0,no,review
3212,Capi,515,Caht,2,0,2,no,review
3212,Capi,3335,Sap,2,0,6,no,review
3212,Capi,3790,Sapk,2,0,1,no,review
734,Capk,4147,CAPNK,1,0,0,no,review
734,Capk,515,Caht,2,0,2,no,review
734,Capk,3212,Capi,1,0,0,no,review
734,Capk,2023,Chbk,2,0,7,no,review
734,Capk,3335,Sap,2,0,6,no,review
734,Capk,3790,Sapk,1,0,1,no,review
4147,CAPNK,3790,Sapk,2,0,1,no,review
3009,Ch/Na,3497,Ch/Or,2,0,1,no,review
3009,Ch/Na,2104,Hg/Na,2,0,2,no,review
3009,Ch/Na,1031,Htna,2,0,2,no,review
518,Chht,515,Caht,1,0,2,no,review
518,Chht,2023,Chbk,2,0,7,no,review
518,Chht,550,Chhtr,1,0,2,no,review
518,Chht,2096,Hdt,2,0,3,no,review
7583,Clear,1208,Clay,2,0,6,no,review
