Internal ID,Name,Abbreviation
1064,Vintage Navy,Vntny
7530,Vintage True Navy,Vintage True Na
7487,Vintage Turquoise,Vint Turquoise
4363,Vintage White,Vintage White
3132,Violet,Violet
7545,Violet/Aqua,Violet/Aqua
4365,WH,WH
4372,WH/ST,WH/ST
839,Wh/Wh/Crwh,Wh/Wh/Crwh
1384,White,White
6,White,White
6510,White/Ah,White/Ah
7504,White/Aluminum/Navy,Wh/Alum/Navy
657,White/Black,White/Black
3888,White/Black/Black,White/Black/Bla
863,White/Charcoal,Wh/Ch
6258,White/Columbia Blue,Wht/ColBlu
942,White/Dark Green,Wh/Dg
950,White/Forest Green,Wh/Fg
7398,White/Gold/Black,Wht/Gld/Blk
644,White/Grey,White/Grey
786,White/Grey/Black,White/GR/BK
667,White/Maroon,White/Maroon
944,White/Maroon,Wh/Ma
610,White/Navy,White/Navy
946,White/Navy,Whna
7401,White/Orange/Purple,Wht/Org/Purp
945,White/Purple,Wh/Pu
629,White/Red,Wh/Rd
658,White/Royal,White/Royal
702,White/Royal/Royal,W/R/R
864,White/Scarlet,Wh/Sc
5770,White/Stealth,White/Stealth
6264,White/Urd,White/Urd
659,White/White,Wh/Wh
7503,White/White/Columbia Blue,Wh/Wh/Columbia
3891,White/White/White,Wh/Wh/Wh
7603,Winter Camo,Winter Camo
7578,Wolf Grey,Wolf Grey
580,Yellow,Yellow
7476,Yellow/Orange/Purple,Ye/Or/Pu
