style,color_name,size,upc_to_write,netsuite_item_id,match_method
L420,White,4X-Large,00191265147538,53803,option:name
L420,Black,3X-Large,00191265146395,53774,option:name
L420,Black,4X-Large,00191265146425,53775,option:name
L420,Royal,3X-Large,00191265147279,53795,option:name
996M,Ash,Small,00042463065707,35998,option:name
996M,Ash,Medium,00042463065677,35999,option:name
996M,Ash,Large,00042463065684,36000,option:name
996M,Ash,X-Large,00042463065691,36001,option:name
996M,Ash,2X-Large,00042463297580,36002,option:name
996M,Black,Small,00042463009558,36005,option:name
996M,Black,Medium,00042463009565,36006,option:name
996M,Black,Large,00042463009572,36007,option:name
996M,Black,X-Large,00042463009589,36008,option:name
996M,Black,2X-Large,00042463009596,36009,option:name
996M,White,Small,00042463380534,36122,option:name
996M,White,Medium,00042463380541,36123,option:name
996M,White,Large,00042463380558,36124,option:name
996M,White,X-Large,00042463380565,36125,option:name
996M,White,2X-Large,00042463589791,36126,option:name
996M,Oxford,Small,00042463859092,41669,option:name
996M,Oxford,Medium,00042463673339,41670,option:name
996M,Oxford,Large,00042463935277,41671,option:name
996M,Oxford,X-Large,00042463683710,41672,option:name
996M,Oxford,2X-Large,00042463797011,41673,option:name
996M,Ash,3X-Large,00042463004089,36003,option:name
996M,Black,3X-Large,00042463009602,36010,option:name
996M,Oxford,3X-Large,00042463004164,41674,option:name
996M,Burnt Orange,Small,00042463123094,36012,option:name
996M,Burnt Orange,Medium,00042463123100,36013,option:name
996M,Burnt Orange,Large,00042463328208,36014,option:name
996M,Burnt Orange,X-Large,00042463464616,36015,option:name
996M,Burnt Orange,2X-Large,00042463123117,36016,option:name
996M,Burnt Orange,3X-Large,00042463004072,36017,option:name
996M,Oxford,4X-Large,00042463280216,41675,option:name
996M,Black,4X-Large,00042463280193,36011,option:name
996M,Maroon,Small,00042463728800,36058,option:name
996M,Maroon,Medium,00042463829378,36059,option:name
996M,Maroon,Large,00042463926091,36060,option:name
996M,Maroon,X-Large,00042463652396,36061,option:name
996M,Maroon,2X-Large,00042463980802,36062,option:name
996M,Maroon,3X-Large,00042463004157,36063,option:name
996M,Cardinal,Small,00042463065868,41440,option:name
996M,Cardinal,Medium,00042463065875,41441,option:name
996M,Cardinal,Large,00042463065882,41442,option:name
996M,Cardinal,X-Large,00042463065851,41443,option:name
996M,Cardinal,2X-Large,00042463728022,41444,option:name
996M,Cardinal,3X-Large,00042463004096,41445,option:name
996M,Safety Green,Small,00042463143498,36099,option:heur
996M,Safety Green,Medium,00042463143504,36100,option:heur
996M,Safety Green,Large,00042463143511,36101,option:heur
996M,Safety Green,X-Large,00042463143528,36102,option:heur
996M,Safety Green,2X-Large,00042463143535,36103,option:heur
996M,Safety Green,3X-Large,00042463143559,36104,option:heur
996M,Gold,Small,00042463641802,36040,option:name
996M,Gold,Medium,00042463641819,36041,option:name
996M,Gold,Large,00042463641826,36042,option:name
996M,Gold,X-Large,00042463641833,36043,option:name
996M,Gold,2X-Large,00042463899609,36044,option:name
996M,Gold,3X-Large,00042463004126,36045,option:name
996M,Royal,Small,00885306019389,36092,option:name
996M,Royal,Medium,00885306019396,36093,option:name
996M,Royal,Large,00885306019402,36094,option:name
996M,Royal,X-Large,00885306019419,36095,option:name
996M,Royal,2X-Large,00885306019280,36096,option:name
996M,Royal,3X-Large,00885306019297,36097,option:name
996M,Columbia Blue,Small,00885306101206,36018,option:name
996M,Columbia Blue,Medium,00885306101213,36019,option:name
996M,Columbia Blue,Large,00885306101220,36020,option:name
996M,Columbia Blue,X-Large,00885306101237,36021,option:name
996M,Columbia Blue,2X-Large,00885306101282,36022,option:name
996M,Columbia Blue,3X-Large,00885306101299,36023,option:name
996M,Cyber Pink,Small,00885306101244,42103,option:heur
996M,Cyber Pink,Medium,00885306101251,42104,option:heur
996M,Cyber Pink,Large,00885306101268,42105,option:heur
996M,Cyber Pink,X-Large,00885306101275,42106,option:heur
996M,Cyber Pink,2X-Large,00885306101305,42107,option:heur
996M,Cyber Pink,3X-Large,00885306101312,42108,option:heur
996M,Safety Orange,Small,00885306094959,36106,option:heur
996M,Safety Orange,Medium,00885306094966,36107,option:heur
996M,Safety Orange,Large,00885306094973,36108,option:heur
996M,Safety Orange,X-Large,00885306094980,36109,option:heur
996M,Safety Orange,2X-Large,00885306094881,36110,option:heur
996M,Safety Orange,3X-Large,00885306094898,36111,option:heur
996M,Light Blue,Small,00885306162610,41569,option:name
996M,Light Blue,Medium,00885306162627,41570,option:name
996M,Light Blue,Large,00885306162634,41571,option:name
996M,Light Blue,X-Large,00885306162641,41572,option:name
996M,Light Blue,2X-Large,00885306162412,41573,option:name
996M,Light Blue,3X-Large,00885306162429,41574,option:name
996M,Neon Green,Small,00885306162573,36077,option:heur
996M,Neon Green,Medium,00885306162580,36078,option:heur
996M,Neon Green,Large,00885306162597,36079,option:heur
996M,Neon Green,X-Large,00885306162603,36080,option:heur
996M,Neon Green,2X-Large,00885306162351,36081,option:heur
996M,Neon Green,3X-Large,00885306162368,36082,option:heur
996M,Neon Pink,Small,00885306162535,41616,option:name
996M,Neon Pink,Medium,00885306162542,41617,option:name
996M,Neon Pink,Large,00885306162559,41618,option:name
996M,Neon Pink,X-Large,00885306162566,41619,option:name
996M,Neon Pink,2X-Large,00885306162436,41620,option:name
996M,Neon Pink,3X-Large,00885306162443,41621,option:name
996M,Royal,4X-Large,00885306177386,36098,option:name
996M,Ash,4X-Large,00042463470822,36004,option:name
996M,Athletic Heather,Small,00885306257071,102497,option:name
996M,Athletic Heather,Medium,00885306257088,102496,option:name
996M,Athletic Heather,Large,00885306257095,41293,option:name
996M,Athletic Heather,X-Large,00885306257101,41294,option:name
996M,Athletic Heather,2X-Large,00885306256807,102495,option:name
996M,Athletic Heather,3X-Large,00885306256814,41296,option:name
996M,Athletic Heather,4X-Large,00885306256883,41297,option:name
996M,Cardinal,4X-Large,00885306177409,41446,option:name
996M,Cyber Pink,4X-Large,00885306177492,42109,option:heur
996M,Military Green,Small,00885306162498,36064,option:heur
996M,Military Green,Medium,00885306162504,36065,option:heur
996M,Military Green,Large,00885306162511,36066,option:heur
996M,Military Green,X-Large,00885306162528,36067,option:heur
996M,Military Green,2X-Large,00885306162375,36068,option:heur
996M,Military Green,3X-Large,00885306162382,36069,option:heur
996M,Military Green Heather,2X-Large,00194422028329,42625,option:heur
996M,Blush Pink,2X-Large,00194422028381,102499,option:heur
996M,Military Green Heather,3X-Large,00194422028343,42626,option:heur
996M,Blush Pink,3X-Large,00194422028312,102498,option:heur
996M,Military Green Heather,Large,00194422028190,42623,option:heur
996M,Blush Pink,Large,00194422028282,102501,option:heur
996M,Military Green Heather,Medium,00194422028206,42622,option:heur
996M,Blush Pink,Medium,00194422028268,102502,option:heur
996M,Military Green Heather,Small,00194422028183,42621,option:heur
996M,Blush Pink,Small,00194422028275,102503,option:heur
996M,Military Green Heather,X-Large,00194422028176,42624,option:heur
996M,Blush Pink,X-Large,00194422028251,102500,option:heur
996M,Rock,2X-Large,00885306981143,42787,option:name
996M,Rock,3X-Large,00885306981174,42788,option:name
996M,Rock,Large,00885306980139,42785,option:name
996M,Rock,Medium,00885306980108,42784,option:name
996M,Rock,Small,00885306980122,42783,option:name
996M,Rock,X-Large,00885306980092,42786,option:name
996M,Classic Pink,2X-Large,00885306023638,102480,option:heur
996M,Classic Pink,3X-Large,00885306023645,102479,option:heur
996M,Classic Pink,Large,00885306023676,102482,option:heur
996M,Classic Pink,Medium,00885306023669,102483,option:heur
996M,Classic Pink,Small,00885306023652,102484,option:heur
996M,Classic Pink,X-Large,00885306023683,102481,option:heur
